words,count
ng,3768237
sa,3115665
na,2456232
mga,2234025
ang,2060487
ay,1461791
at,1353921
Ang,701406
isang,679714
o,566901
ito,375071
ni,336004
may,254484
si,236775
bilang,230462
hindi,220241
noong,207420
Sa,184246
mula,172556
para,148466
kung,142634
nito,133963
tao,129210
pang,128925
upang,125391
pag,123893
siya,115700
kanyang,114818
iba,107690
kanilang,94261
rin,92645
ibang,89961
dahil,85612
pa,84313
lamang,82710
isa,81408
din,81315
kaniyang,81045
niya,79499
mas,79219
Ingles,78596
nasa,76161
nang,75394
maaaring,75119
kay,74950
Pilipinas,71175
pamamagitan,71049
hanggang,69643
Si,68456
ilang,68275
Ito,65746
bahagi,64501
naging,62166
unang,61490
bansa,60906
taong,60171
lahat,60137
saan,59515
panahon,57771
Noong,57477
dalawang,57289
loob,56560
walang,56092
ika,55836
naman,54138
tinatawag,53471
ngunit,53201
uri,48830
sila,48381
of,48012
taon,47811
katulad,47427
maraming,46497
itong,46435
anak,45419
araw,44731
San,43802
ginagamit,42935
Ayon,42710
lungsod,41384
the,40904
pagitan,40710
buong,40491
pangunahing,40425
kasama,40344
nag,40054
dito,39786
katawan,39753
buhay,39341
babae,39095
kaya,38613
Hesus,38536
bagay,37375
2,37044
karaniwang,36163
1,36065
bansang,35727
siyang,35187
bayan,34581
salitang,34010
maging,33952
Mga,33096
wikang,33088
Estados,32302
gaya,32193
ayon,32164
Unidos,32158
pagiging,32150
de,32066
May,31814
aaral,31593
nila,31548
tulad,31521
mayroong,31206
kilala,31112
habang,31060
Ibarra,30540
kabilang,29530
lalaki,29380
bawat,29375
mundo,28781
bago,28462
pangkat,28223
bagong,27799
pangalan,27641
Maria,27464
lugar,27217
batas,27100
kapag,26758
tatlong,26537
Hapon,26517
Dahil,26143
malaking,26074
lalawigan,26072
Lungsod,26018
sarili,25850
Maynila,25746
ring,25720
pagkatapos,25608
populasyon,25589
I,25368
siglo,25142
diyos,24896
ilalim,24887
seksuwal,24848
di,24378
and,24357
Diyos,24209
aklat,24026
laban,23766
pamahalaan,23743
estado,23727
karamihan,23716
niyang,23281
3,23230
paggamit,23228
