words,count
sa,63740
at,51662
ng,49749
ang,42091
na,37228
mga,32263
ay,22507
kaniyang,11231
ni,9677
panginoon,7565
si,6944
aking,6820
iyong,6677
hindi,5908
anak,5751
kanilang,5148
sapagkat,4913
dios,4644
isang,4361
lahat,4241
mo,4150
niya,3998
upang,3647
siyay,3602
sinabi,3593
nang,3542
ito,3452
ko,3444
siya,3339
kaniya,3324
may,3288
kay,3263
kung,2954
bayan,2926
inyong,2829
ako,2772
o,2759
a,2727
silay,2702
hari,2668
israel,2574
akin,2521
ka,2517
iyo,2315
kanila,2309
araw,2253
bagay,2200
sila,2176
i,2106
walang,2076
mula,2059
akoy,1939
tao,1922
ninyo,1898
huwag,1896
nila,1873
ngunit,1866
lalake,1809
kayo,1805
buong,1717
kamay,1714
ikaw,1713
lupain,1713
man,1710
nga,1710
gaya,1680
bahay,1615
inyo,1601
dahil,1541
nasa,1526
e,1494
hanggang,1446
gayon,1441
laban,1429
ayon,1396
narito,1394
yaon,1384
lupa,1375
harap,1337
m,1292
kayoy,1248
siyang,1172
bawat,1163
sinasabi,1153
babae,1145
g,1142
oh,1115
niyaon,1107
salita,1101
datapuwat,1090
kapatid,1074
magiging,1071
david,1062
dalawang,1047
kapitulo,1039
pamamagitan,1033
ama,1023
s,1022
magkagayoy,997
kundi,993
kasama,981
sabi,974
parang,973
naman,971
pangalan,959
ginawa,935
isa,929
saserdote,912
tungkol,907
pa,864
puso,857
moises,856
gitna,839
aming,830
dakong,820
handog,817
juda,815
jerusalem,809
buhay,806
mong,801
jesus,777
kami,777
kayong,765
taon,760
kasamaan,758
daan,749
dako,740
kayat,719
pagka,711
ganito,707
lingkod,705
langit,698
doon,694
naging,693
tubig,688
sangbahayan,682
ngayon,676
din,671
maging,669
egipto,659
taga,655
banal,650
ano,648
dumating,642
n,620
taong,619
r,617
ating,610
gawa,609
magulang,607
ninyong,598
mata,582
nangyari,581
hukbo,578
ibang,576
asawa,571
t,567
bansa,567
baga,565
ibinigay,562
silang,559
tatlong,558
c,550
bundok,540
ba,540
l,535
ibabaw,531
matuwid,530
anomang,529
apoy,528
apat,528
espiritu,525
nagsabi,514
kasalanan,512
itoy,501
masama,501
mabuti,496
niyang,494
loob,493
sariling,493
tinig,492
gayoy,490
pitong,488
panginoong,481
gumawa,473
rin,473
bayang,468
lamang,468
wala,466
kang,465
pung,464
nakita,461
propeta,457
tabak,454
bahagi,451
ginto,450
kautusan,449
baka,445
panahon,445
ilang,443
malaking,443
oo,442
di,441
yaong,435
tinapay,435
nagsasabi,432
makatuwid,431
sarili,430
sinalita,427
bato,427
dagat,426
limang,425
gagawin,424
roon,423
bakit,422
ulo,421
u,417
kaaway,417
kaluluwa,414
hayop,414
amin,412
dugo,412
bibig,409
magpakailan,409
dambana,408
puno,408
lalaking,405
saul,402
sabihin,402
kaarawan,397
cristo,394
kaharian,391
maraming,386
akong,386
jacob,382
dinala,382
kahoy,381
sumagot,380
pagkatapos,378
laman,376
nawa,373
naparoon,371
nalalaman,367
yumaon,367
palibot,366
namin,364
susunugin,359
buwan,359
kapisanan,354
put,353
paanong,351
atin,347
aaron,345
mukha,342
gawin,342
angkan,341
katuwiran,340
nangasa,338
lipi,337
utos,337
iba,337
paa,336
tunay,336
iniutos,336
kapangyarihan,330
pati,329
kaluwalhatian,327
inilagay,326
sinomang,322
pilak,321
prinsipe,318
mainam,318
paningin,317
lumabas,316
tayo,314
ibibigay,313
kahatulan,309
ina,308
lakad,307
kita,307
lalong,307
tabernakulo,306
mangyayari,301
kong,301
salomon,300
unang,299
babilonia,297
kapayapaan,297
tupa,297
saan,297
tayoy,296
anim,296
langis,295
tinawag,295
levita,293
nagsalita,291
makita,291
pumasok,290
anong,289
ngang,285
anghel,285
punong,285
sasabihin,284
