words,count
ng,3716098
sa,3232430
ang,2716530
na,2417602
mga,2233462
ay,1438621
at,1308489
isang,695048
o,567281
ito,436947
ni,325901
si,298267
may,283150
noong,264655
bilang,245081
hindi,236768
mula,177994
kung,156276
para,155001
siya,134492
nito,133680
pang,132312
tao,129140
pag,127198
upang,125483
kanyang,118095
dahil,109860
iba,109655
isa,101182
rin,92075
kanilang,90134
ibang,89608
nang,85862
mas,83458
pa,83425
maaaring,83078
lamang,82291
din,80690
ingles,78953
nasa,78864
niya,75138
ayon,73346
kay,72253
ilang,71542
pilipinas,71368
unang,71227
pamamagitan,70101
hanggang,69921
kaniyang,69845
naging,69655
lungsod,67345
tinatawag,65392
bahagi,65189
bansa,64082
ngunit,64061
panahon,62489
taong,62189
walang,59747
saan,59410
ika,59018
lahat,58684
the,58159
dalawang,57875
loob,56129
maraming,55290
naman,52799
sila,50888
katulad,50820
ginagamit,49559
uri,49252
diyos,49128
taon,48470
kabilang,48378
of,48086
araw,47238
itong,46789
kaya,46181
kasama,44547
anak,44541
san,44127
pangunahing,43572
dito,43313
nag,43041
bagong,42553
karaniwang,41991
wikang,41299
pagitan,40617
buong,40311
katawan,39802
mayroong,39697
buhay,39431
bayan,39146
babae,38855
hesus,38540
habang,38182
pagkatapos,37634
timog,36942
bansang,36577
bagay,35883
halimbawa,35808
kapag,35779
kilala,35746
batas,35603
de,35248
siyang,34307
salitang,34272
aklat,33943
maging,33784
tulad,33316
bago,33170
estados,32321
unidos,32317
pagiging,32206
mundo,31841
lalawigan,31803
aaral,31615
gaya,31479
bawat,30828
ibarra,30714
i,30392
karamihan,29762
nila,29535
lalaki,29534
pangkat,29120
subalit,28812
matatagpuan,27958
estado,27950
maria,27901
hapon,27838
tatlong,27821
pangalan,27350
lugar,27272
malaking,27143
a,27007
bagaman,26710
di,26627
t,26179
pamahalaan,25948
populasyon,25855
maynila,25830
ring,25808
sarili,25565
siglo,25302
seksuwal,25275
and,25015
ilalim,24944
kastila,24619
sinaunang,24401
binubuo,24054
sapagkat,24000
mag,23870
mayroon,23356
paggamit,23268
europa,23263
laban,23233
romano,22973
hilagang,22800
ding,22784
niyang,22628
panahong,22526
paraan,22508
sakit,22254
